Mendacium,Depth,Price
3.359,1722.533,74.04869105
1.348,2062.571,83.32190745
0.418,2013.507,82.74896396
8.193,1420.607,84.76049381
5.21,951.957,54.58867143
11.189,1574.612,115.3110199
11.657,1372.887,117.1226166
11.895,1251.325,118.1482877
4.879,153.332,57.39187583
3.419,2142.666,83.43013034
6.41,2167.11,97.21816461
6.543,523.084,55.97652351
8.146,2899.092,148.9883104
7.043,1228.714,64.07193605
12.976,228.467,121.589231
10.126,2828.65,152.3597179
2.57,2415.989,111.2053664
5.465,1146.022,71.46200487
10.004,629.207,68.13009814
11.612,2008.463,139.1919038
5.901,291.673,57.40289822
3.681,1958.027,91.22771014
11.091,617.128,80.70150564
8.769,332.9,68.94609119
0.458,1284.385,56.19711916
3.963,521.528,57.65697416
11.752,800.857,94.40546491
12.006,587.324,95.07704595
0.407,370.716,54.85469647
10.609,2289.441,131.6769917
5.821,2437.354,103.4629116
3.197,737.532,57.24212307
11.075,1465.252,96.96059825
6.549,2041.722,84.49466709
3.145,239.938,41.24029038
10.263,614.906,70.05121755
12.507,2652.358,184.0506068
1.86,694.608,42.4766079
5.318,225.73,43.06831796
9.18,2995.655,162.8020367
12.645,2675.286,173.6182134
2.93,2679.509,112.2343512
2.034,2688.027,117.732033
2.549,1378.941,68.11107034
11.398,599.604,92.87324038
7.843,2759.128,139.6123932
8.103,451.831,64.36109441
7.597,798.878,56.0110079
9.867,596.613,74.30641992
3.426,987.717,58.79587309
9.504,1305.213,81.06425009
11.002,2296.367,145.6526972
6.905,298.131,50.23309733
8.39,226.594,69.49867258
12.712,1195.733,122.2505466
4.095,694.645,52.74679322
6.396,2956.143,144.4365121
12.124,1610.064,134.9761855
11.39,288.249,92.33372029
2.466,915.511,52.15375218
9.474,2973.132,151.3622473
3.842,608.705,44.77190597
6.898,166.722,49.09822678
4.26,770.882,46.46693483
2.036,507.169,49.17476416
9.095,692.762,77.37813552
1.468,621.19,46.03041664
4.575,2025.084,92.49672446
8.066,802.113,68.29276007
0.216,1196.052,68.44721179
5.451,1513.991,63.76757587
12.281,1920.929,138.3032677
4.906,2178.795,101.4953382
12.342,72.818,102.5029498
8.886,621.246,69.59159075
8.993,1799.265,92.70308859
8.415,2763.592,141.2193903
4.88,1967.909,80.38668819
5.735,271.646,40.82297531
4.364,1666.37,70.94561791
8.388,2939.418,141.0581617
3.516,902.405,63.92819538
6.796,2684.597,122.7592298
3.483,1570.833,70.3792156
2.595,1578.32,79.78576795
10.286,1811.11,114.4423489
12.663,1225.123,122.3704271
10.837,787.413,79.93125059
1.812,1609.634,75.12856196
2.057,2796.395,130.2731715
1.776,2957.738,131.3569043
10.292,2559.485,138.3066493
6.104,2358.75,96.47063207
1.456,1313.317,63.85687179
12,86.197,108.7702209
10.629,126.216,78.71998252
6.194,2345.663,112.6326047
7.038,2875.937,135.0521069
10.154,2999.077,162.732866
0.824,2777.089,122.4317407
3.427,1957.902,79.43091779
7.54,2046.05,101.9028642
0.311,1924.688,85.19140801
3.145,1416.945,65.51235726
3.656,1404.021,71.48307686
6.267,2686.905,121.141089
9.25,155.845,74.94676025
11.228,1090.658,93.28236211
6.882,1507.391,70.46484215
11.584,1519.722,107.2112491
7.64,953.393,63.58440072
4.164,363.34,44.91151827
3.761,2619.531,122.8388511
11.574,304.296,86.70665158
11.009,93.088,78.52754834
2.418,1862.565,77.5270987
8.836,2234.104,104.0831725
7.023,1064.51,60.35189779
0.366,2.947,47.26013166
1.884,1246.767,58.97145801
0.052,1648.462,77.7852209
5.125,2713.175,122.6707564
10.409,149.125,72.57185203
4.643,4.371,38.82187454
7.149,703.005,53.34939921
8.485,2453.965,118.8291042
2.333,456.668,48.34051242
11.046,2009.143,116.877523
1.797,28.624,38.73426258
7.974,1490.998,69.58324344
2.548,2761.116,127.8326868
4.76,1269.401,72.01424043
6.582,2982.853,150.6559949
0.295,1520.509,63.32035055
1.154,1537.094,65.497558
12.2,1048.214,106.9352131
5.638,506.286,44.72869433
5.006,2214.527,88.91548282
11.756,2453.618,162.0789303
1.721,824.114,48.3936002
12.329,648.79,107.9798648
6.709,1192.14,60.08353894
6.402,1872.648,94.86638349
10.318,1940.046,119.6029077
12.365,747.979,109.3750761
1.735,1142.347,56.57177031
6.965,214.151,44.3417372
11.49,2626.113,160.444737
11.995,565.229,110.5278936
11.788,1049.04,104.9818123
5.01,323.029,57.97944811
2.369,1251.608,63.08972689
2.326,1727.477,80.4898606
7.937,148.671,58.38534372
4.733,1206.442,55.22428584
12.729,1957.473,151.6912149
12.864,121.592,109.841504
4.944,2660.614,117.227581
0.45,1788.518,74.42060811
10.335,1014.539,79.5770751
6.864,862.283,53.7199708
8.034,2782.933,140.1564428
11.422,2946.428,169.0024023
8.854,496.388,73.65444239
7.121,1691.862,85.61967479
8.678,1824.517,103.0015617
4.617,2367.393,104.1982565
6.078,490.203,54.23472469
11.693,627.74,104.9277992
0.67,2715.857,117.2370211
6.821,1859.013,91.21461597
4.036,1388.72,59.01966793
2.083,2382.117,113.6775081
12.493,1015.593,123.6887993
10.715,2378.936,140.3605964
4.629,1348.232,69.99859873
11.13,2647.5,164.6577721
9.472,1464.947,92.5653145
6.705,2632.467,113.6801452
5.215,2538.974,120.3325489
1.642,274.283,50.33048802
4.931,2837.823,131.7691465
8.308,530.118,66.45849228
8.802,2461.15,113.8470731
4.178,899.691,51.47324205
12,1232.951,110.8568123
0.112,2759.294,126.5900055
2.74,1824.969,82.46108239
6.887,252.536,44.02127423
4.472,577.423,49.65324748
0.972,2545.247,117.0100247
7.103,2911.895,140.7485543
10.768,2756.892,147.6812971
5.155,2720.859,114.2868607
6.358,168.672,56.22868434
9.85,2924.74,156.9131977
11.867,2168.882,151.0917957
6.598,1052.592,57.84437558
2.762,1553.275,80.95085886
8.59,1749.286,85.88895347
10.569,49.984,73.6470264
2.56,775.011,59.25376276
12.511,143.938,117.350731
9.421,731.179,66.63746841
3.283,2215.793,93.3528461
6.579,2644.142,129.7046797
5.435,2619.553,117.5827161
3.406,2374.979,107.1750608
7.658,887.934,61.82122903
3.565,2165.395,98.57007221
10.152,2487.657,144.1228122
11.79,1104.545,106.1946822
4.664,2789.654,124.7902566
0.352,670.194,54.49051547
9.525,1038.713,76.87943325
2.331,1289.094,70.35628032
12.793,1376.413,137.4526116
2.531,1661.759,81.24680698
3.829,598.573,59.54105743
10.843,1295.488,107.4525826
6.212,2956.492,131.1365603
1.627,1892.321,91.21737031
2.966,1472.55,72.95617925
2.759,2411.868,100.8551753
7.738,2399.828,111.4972735
1.914,460.23,49.5524219
12.057,1029.53,115.1146541
11.512,2767.488,173.8490699
10.836,640.432,89.4872276
7.921,1284.396,82.03955991
9.781,267.3,60.76429335
10.665,1702.629,98.68240098
2.439,1751.723,72.94989224
6.292,1186.082,68.50633829
6.416,602.337,49.36261064
4.323,920.946,56.37056042
5.339,2597.407,125.8133472
0.683,1687.342,84.5589055
5.892,1962.978,97.50573742
7.544,2784.292,137.0647872
3.552,561.87,42.17445336
8.296,1504.506,78.000092
9.405,803.523,68.98680437
12.49,1038.182,122.4464524
6.123,2807.673,126.2995596
10.888,1643.06,117.4936814
3.222,609.786,57.28895738
6.153,1813.973,81.51677057
1.404,1469.152,72.26293904
8.029,1229.84,70.20005539
13,398.452,115.4551749
9.199,426.761,64.27043829
0.609,95.211,43.6310281
10.945,2139.785,123.4443418
8.749,2975.448,155.0207565
6.532,683.892,48.74715772
0.379,1612.036,74.45924606
0.097,2284.824,102.6415913
8.161,1986.237,97.69073771
3.25,343.756,40.40071906
10.079,807.144,77.73382976
3.131,1619.666,74.53294777
8.209,1210.049,68.15675782
0.644,2226.663,100.316249
