x,y,z
34.60061273185207,281.8413426282966,a
13.713947538854288,237.34071058442288,a
20.756906670482206,275.5981490824911,a
46.97850112262688,284.35891960457775,a
52.168700081058184,208.39230609748336,a
23.956405281502988,273.3569909820667,a
78.63846949109518,241.59791671047157,a
89.70208127913818,280.0884955628337,a
78.1337071477752,276.58258313335915,a
90.62533097991,246.2955221037917,a
89.96135548639477,261.3842135349355,a
121.85368520379478,281.5290115932571,a
127.19130618057214,236.30200183845096,a
119.21884298096401,139.54867407404538,a
45.03941880406475,232.87322710126205,a
80.31117205888955,215.10699229146866,a
116.82661785396391,242.7768594805719,a
98.03186967361187,254.50379423217635,a
80.00103793361205,258.69411143889454,a
128.22741579452293,232.39249015373025,a
119.68182629807811,249.7483352485101,a
134.38554465803173,256.45525663232183,a
131.988613561688,240.37910465144404,a
115.47914611649632,232.4681277652291,a
165.3946663461529,265.14213515924774,a
164.4148889695607,225.42734604749626,a
125.72533391615073,202.4846386154311,a
126.23793226364596,231.55676061559836,a
154.4770213977205,230.15337464479774,a
124.4372635636974,257.44799174134255,a
125.49393208524198,205.4384510167469,a
164.61671519295726,245.45999052500332,a
174.42452285396777,199.3894828893528,a
166.6591289526577,215.24160061951824,a
128.93535387220481,275.0044339803586,a
177.25464796575574,208.99413142705873,a
142.78985851399358,264.3771247290043,a
136.1813712886957,255.94340651178743,a
153.3257838966042,204.42572290968434,a
159.86268802708082,161.88758401215762,a
144.71776777319985,219.55755211194423,a
117.27805224097929,182.29208304302063,a
165.78893159679762,177.69470617573842,a
149.38430615634167,251.02854199840962,a
203.327347747283,220.46313598249208,a
152.85809240427602,212.9210683211814,a
137.3337302711752,221.55899697005418,a
238.199141825894,214.27314578084292,a
190.222930303464,216.63666507722934,a
194.4205519674405,264.2530598351502,a
155.96331773610808,234.95598348455343,a
195.22922641082982,196.86852987060547,a
197.06389618367152,131.62330763672713,a
187.39891100781995,196.42587258095097,a
216.2712269763857,138.9035265267931,a
196.07396205722083,199.53597932263415,a
206.05435471482534,195.99342820023327,a
231.75200158572855,196.77503132206232,a
219.9297196311782,139.0028792738657,a
249.58216881267987,178.54226580035748,a
248.97159770890644,144.18550918124777,a
283.2986613038161,171.17155723220964,a
264.0383630174189,185.749630387926,a
254.58911272076588,209.16965788221978,a
266.3240476537962,191.16176510922332,a
205.24768181160348,179.87566139780597,a
251.87733835255767,173.3324474903905,a
307.7818818255354,163.57845964415083,a
242.76054318837174,154.09283060901208,a
254.59610004929098,149.80035821522432,a
249.68026126761492,161.47391046342608,a
268.9955939691993,176.84290514813483,a
262.522288797511,186.68821984478006,a
265.9999243505757,211.10331751796662,a
254.51672246539087,170.85658543598322,a
283.8173410139768,119.01603295680843,a
243.1293375002682,191.07657108364674,a
287.7731785320435,202.59162074847012,a
286.75629969782347,210.79645047210215,a
245.23059603806874,159.00371140087697,a
343.71075122392523,205.18988033187043,a
291.1630447391052,174.62115472182643,a
295.9169926594902,216.58688266124182,a
283.59109986219806,154.80519672939306,a
302.0478231866327,194.2619093156123,a
333.20966630083973,161.55318684523337,a
323.6488713790556,161.37962475214294,a
275.5995835686235,177.30780500858845,a
340.1580826504091,181.71192500777113,a
309.8146236422183,165.29689258871645,a
277.49938756849986,169.00541256121016,a
290.9739016416768,158.23159696050777,a
319.9759530941411,113.15880308410362,a
291.058141890345,156.94602539038726,a
341.38368052724655,123.792031105474,a
336.51828445866613,153.8968676164252,a
287.2331865998982,161.3705064496375,a
351.17910126402563,149.14207411629945,a
315.1121492349842,198.46943735689433,a
361.36289473561703,210.3736500385208,a
340.39237815633635,119.99060293385355,a
347.34141497707446,144.14212120255246,a
346.4456541587775,142.4932097961493,a
420.0760379631503,146.2051415468119,a
360.4750048425374,169.49806831153944,a
374.47452070423867,177.10181124076587,a
413.8762358743712,196.275391963238,a
408.7414048322302,145.5153875202335,a
400.6942099172136,153.2032809498457,a
394.101403734963,139.44670684742164,a
371.23836553746906,168.46409259080434,a
405.0471647105265,179.39790094613767,a
408.27657998022295,159.35858473262147,a
424.8644812430044,185.49493379177147,a
432.9801429761826,144.6559118054605,a
423.0726311868258,147.63023774516324,a
442.3991352341858,229.92994381946085,a
455.63078273140206,206.88518068458433,a
464.2233324932729,250.18474314383923,a
465.4245786216565,182.7976536855897,a
492.71066143262766,196.28189855860978,a
424.52549335298335,192.20118374168374,a
490.7436403772631,148.46495262462298,a
521.0750011478376,189.01230532426388,a
479.33155076583404,141.94494829116877,a
514.3677340001246,175.99999058368326,a
501.83067933549205,186.01756124006948,a
498.5991384030686,179.46460862360897,a
501.12926001211315,182.1798770221688,a
469.545541840255,151.56919503070856,a
483.5519302829694,209.67111296901544,a
471.41203691033496,147.7814537100444,a
492.3665963883401,189.15572775950898,a
503.72764715924853,199.33218892498684,a
524.8517061697806,228.1363072870784,a
486.6305545588293,170.49727651435074,a
499.7803979027735,153.86107178092158,a
506.65079087872505,169.73532399653232,a
522.3151137298701,208.5948528942714,a
480.26364232446895,180.3359177440248,a
534.4431598952236,188.44478475287804,a
488.1028473567593,222.90941397022436,a
517.8013536197124,170.57178224022522,a
571.3119523988853,221.3019951552178,a
561.1301543477117,236.28041683288836,a
569.7907797615935,198.45407464379286,a
562.4038458898683,209.28018554001056,a
551.5981123788672,197.03341313619046,a
560.2943551615114,239.36566817947545,a
571.2230516729902,204.69369526589247,a
558.1559297114526,321.7535257191862,a
557.6504251670965,215.0402858333121,a
552.4591215407125,209.68985787445314,a
510.3398237701614,258.92898628628546,a
559.533055868338,209.87198234341122,a
580.3071787523311,216.2911589443911,a
551.3455132689714,241.25257702210013,a
506.94198622119785,233.0031732944555,a
563.9834270568364,258.82237264991454,a
546.7580038462819,267.5628758493326,a
550.7747418945498,318.852930977136,a
602.1240283230727,239.290028083587,a
600.605959692822,254.92021473351832,a
575.3696755167264,219.3333196673937,a
632.8747975820967,293.2329228450403,a
578.738558093983,262.4592707554819,a
561.1299687555177,218.63969643360684,a
603.9397588852676,285.1547342721492,a
607.048010586147,230.58627501962343,a
569.2495313406571,267.49001147467646,a
546.6997717233415,271.9668922211745,a
585.5758947098278,243.32655978853387,a
605.4637885135631,286.1181733706185,a
598.1328838257795,287.91539399893287,a
560.7766337656716,251.3024649426072,a
568.5784675642057,261.80037317100147,a
590.614636415922,265.5193717562752,a
606.862816831041,263.61471875533584,a
626.8715263552375,295.79801135177235,a
646.8477091589791,314.7536184491264,a
571.7635426195258,327.488458130765,a
582.167741598221,264.1738959012482,a
608.4930863290442,229.4428757028951,a
617.6595570806293,314.79850578564617,a
590.3729534324063,277.2759625943982,a
600.9042628802572,323.4033184119901,a
590.6503561446704,302.0978932954387,a
603.5747258857959,302.04284079468084,a
660.9601773158611,309.07469162991663,a
655.1846055081877,328.60527893582355,a
669.8611763344937,297.29442074099074,a
603.4063882591638,347.09049254303136,a
637.5024619199843,374.5581873810694,a
615.0455373167049,352.03096835844946,a
665.9847038523906,375.99808399831295,a
661.9373679500163,347.5212452647464,a
662.7434539398694,340.30699757798106,a
646.4638482878373,372.67813091871255,a
652.1837431828087,339.4031491723024,a
688.9053190289443,372.0804283360633,a
707.6916278725914,356.57726876868776,a
686.4711686381045,393.1860945235496,a
669.7345052978176,345.3788633539807,a
660.6675955719335,370.32680377800034,a
697.8833450397825,360.8969721918733,a
657.0661849899554,429.0672146918548,a
726.3105422060814,377.06712236546286,a
693.6891799763163,373.36293913707755,a
710.5585479911895,357.2989234258029,a
750.3377045140643,356.8327285650083,a
683.0041966962195,412.3817125107184,a
651.6775779166305,382.19606859778696,a
691.6864868009457,354.11677179042533,a
671.1356407772782,335.8822469022794,a
686.9642856561344,382.2371669432652,a
670.6077706694967,413.1225921013403,a
694.279908374962,439.89090505615115,a
642.7259523144568,426.5063063572384,a
714.9949874883672,435.3535768493057,a
714.1921086292995,385.9777881249457,a
688.6019494146807,480.2260565092723,a
721.7098808111461,456.50427573091815,a
687.5312945992346,464.18589093194817,a
704.9693438068813,392.85174417904295,a
712.1507556823531,447.3151138901552,a
650.1161496439398,446.2407518354242,a
658.9877622049953,444.26835620088207,a
657.7655155256807,439.28788646296704,a
676.9873464619637,436.5413314125734,a
719.8961236277736,438.025400690074,a
686.8816356578144,427.29687086311316,a
703.0359333360419,475.1461663977597,a
669.9516995170901,424.18858939254955,a
642.9813695553379,458.101405958495,a
677.7677954409982,424.0549736630083,a
691.3788464736435,451.38196503734423,a
683.1915495101091,445.8487252556543,a
722.2937898303775,450.57404466392154,a
638.2336534325068,481.71714780201296,a
685.5067237465852,488.4799832734284,a
663.8254145450027,458.0996264969551,a
673.0899857401628,497.27386989760436,a
665.6865109212056,486.7274411637419,a
729.4756709059826,482.45900660933336,a
717.1792056233951,496.1608523580242,a
684.4781062275547,474.14783922239735,a
673.486872399456,521.7468773661262,a
689.7630647784781,550.2669875877996,a
724.51553905032,529.6763622982526,a
732.0911585106962,514.9788597568297,a
648.644250548406,510.4855331839498,a
666.7741286086003,495.6662233474613,a
658.8651689849361,487.65314528743255,a
106.39912413320883,160.16362419724157,a
126.0115855525197,144.31975010855257,a
119.70865824206751,144.42217810588204,a
117.41591146901092,134.99078938990755,a
140.58801973494883,142.96788879161926,a
148.42898547639382,126.96419859964828,a
60.2736327149549,132.571540704869,a
61.11920215787797,155.21577740715747,a
73.01232121751227,175.43021339582998,a
111.67690056276192,180.06668506705256,a
111.39296387442377,164.54861511758276,a
68.33502181921284,138.78643476922576,a
34.42267097904577,153.28970191361736,a
82.37287567147041,183.4472412368275,a
41.405757824508235,157.32966201944134,a
58.50981572127685,106.05520111218755,a
25.285897927903243,131.40109540820288,a
22.864150475370977,143.08855230205876,a
86.22364075366679,149.24493268860067,a
52.166104935524224,173.28434911819937,a
112.8726457986871,177.30919262993126,a
84.42029086920729,209.94754979186894,a
70.06879051248045,116.60809687579973,a
69.36639876581674,135.52452851558945,a
85.78514517693677,94.52293637955887,a
-11.638495409404186,153.97270835229494,a
56.91363174423822,114.99903527429791,a
35.797598593461224,166.0477355817406,a
84.93025236595366,116.19778252545586,a
91.30421118462388,124.61111620998878,a
80.70464632349402,113.15592134077315,a
59.21301368371589,114.08947293383397,a
71.06377706780245,131.94696708034752,a
22.969247226875403,103.45043224763145,a
40.59931590379419,113.67532055550055,a
49.462463149817346,98.76130463673394,a
52.584939848144295,117.63795045205637,a
107.44895204947406,95.76532500983444,a
