Paleonium,Pressure,Price
17,6567,2810.280298
59,5253,1986.967089
123,9715,2083.132087
182,2073,2236.340285
133,6400,1903.323339
41,17016,1616.17379
40,19145,747.1934265
35,17180,1718.235458
146,14121,2044.434408
120,17102,1147.952682
10,15626,2764.488398
55,8206,2260.401395
19,2774,2370.507571
133,11326,2100.963239
164,4474,2102.081487
116,7899,2072.629049
80,16750,1357.632882
12,2067,2312.198021
15,13560,2825.173862
12,5155,2750.317255
78,19223,261.5642451
33,19013,1026.591739
147,18590,970.1210764
24,10289,2746.858643
127,6448,1838.903265
159,13153,2421.623121
4,15075,2958.40444
142,17497,1296.027888
160,3615,1984.402182
192,11931,3144.528479
134,11112,2054.92462
66,3710,1643.396725
24,16793,2156.561488
187,17740,2065.204409
189,19592,1027.804504
178,17487,2009.225825
59,5934,1997.788906
36,16191,1946.592441
187,7771,2945.545098
190,2299,2498.391415
85,11731,1945.373232
69,10701,2056.777155
6,13056,3051.385525
43,16902,1721.802983
160,19785,271.8181622
170,16788,1934.197709
71,9927,2190.616456
138,15214,1906.124486
152,15189,1921.497186
66,7019,1947.260916
172,17995,1644.276479
117,9274,1992.62961
166,15747,2197.187116
171,16684,1959.008017
128,19197,336.1845834
166,2849,1968.790341
169,2896,2110.652095
44,9171,2524.538539
45,7375,2321.539449
108,15243,1701.990586
62,18168,984.4439225
102,10905,1897.912961
180,13215,2733.394337
186,17524,2049.416491
128,13271,1959.903639
89,7690,1947.312141
56,8990,2253.015915
96,5340,1647.990343
114,7347,1863.816172
95,752,1452.890876
9,10079,3090.473057
60,295,1641.135886
67,14207,1975.763427
66,14892,1793.220118
28,9835,2665.405715
191,10484,3169.22792
165,8894,2567.898136
174,5045,2432.257042
19,16847,2245.996881
103,3240,1408.417384
198,2068,2761.966793
28,17267,1814.179973
146,1830,1547.1445
173,17541,1898.420072
165,3983,2197.596984
113,5299,1677.604953
117,1343,1341.918676
36,19811,241.0555242
136,7231,2135.45046
172,7502,2643.045404
51,19966,-2.278363643
145,19990,-83.18709232
172,67,2296.620664
37,5199,2149.707548
50,13556,2128.117068
183,16371,2345.169979
84,2646,1285.065638
68,4436,1802.646366
189,13387,2960.547352
99,19852,-377.1419123
125,660,1508.455517
200,8634,3401.65637
13,11386,3100.888376
19,9760,2895.94968
62,18943,702.7753315
70,2004,1515.126568
83,3504,1579.375331
113,16274,1473.566676
112,19161,244.5772182
34,8770,2644.419902
194,9479,3211.686956
181,18334,1642.031863
162,11652,2504.238515
154,9865,2514.749367
20,18182,1800.604772
89,3294,1357.184529
77,298,1498.785478
135,624,1487.183112
151,2042,1691.989345
121,1188,1452.213251
16,19222,1214.592273
94,19883,-226.8989096
74,8534,2040.623717
127,16121,1625.330048
61,797,1511.199606
186,3770,2465.644241
168,9718,2556.961529
134,18377,866.3163467
68,3769,1562.637285
49,10273,2288.11687
20,13796,2738.640639
91,8277,2062.281408
70,14521,1918.332239
14,15976,2516.12294
115,11314,2048.448657
24,19060,1144.755092
146,11132,2370.914188
65,6279,1960.275667
71,3040,1559.381761
60,11810,2226.081869
100,5288,1742.162729
75,17418,1225.20717
27,3700,2278.946774
76,15798,1514.512283
39,17464,1680.624702
149,15096,2046.191453
84,7644,1990.47597
179,14943,2511.279816
22,4469,2393.329107
12,3024,2462.933397
128,261,1575.68936
0,6135,3114.897791
99,3194,1503.533717
143,3068,1735.176192
195,16319,2755.934858
130,13557,1980.30053
10,2879,2475.961417
97,8859,1903.752804
159,6752,2355.659765
200,17183,2541.238942
73,1659,1397.475255
113,18631,526.0403977
170,11182,2640.489613
23,859,2148.897585
45,2217,1736.403166
190,4745,2856.847903
59,3648,1697.728731
120,7558,2029.109143
99,17566,1075.507337
180,12190,2933.572919
81,12644,2034.794825
63,18077,1103.104669
18,4516,2569.864448
92,14056,1838.168373
28,15104,2410.011418
4,15109,3006.061596
32,13000,2588.785564
53,17004,1453.532416
2,16025,2838.39769
161,2328,1804.325154
37,17726,1490.025397
152,17544,1362.796257
39,1370,1774.126368
39,16720,1878.992719
125,9330,2005.562132
148,19049,700.6940254
135,19015,527.7912619
122,18179,829.9605805
179,12988,2741.947626
59,13658,2032.926229
145,6718,2094.309147
149,14119,2198.237337
