City,Type,Beds,Baths,SquareFeet,Price
SACRAMENTO,Residential,2,1,836,138159.85
SACRAMENTO,Residential,3,1,1167,167541.46
SACRAMENTO,Residential,2,1,796,119095.12
SACRAMENTO,Residential,2,1,852,130904.95
SACRAMENTO,Residential,2,1,797,120266.19
SACRAMENTO,Condo,3,1,1122,170847.39
SACRAMENTO,Residential,3,2,1104,159548.16
SACRAMENTO,Residential,3,1,1177,176531.14
RANCHO CORDOVA,Condo,2,2,941,146227.95
RIO LINDA,Residential,3,2,1146,196095.48
SACRAMENTO,Residential,3,2,909,141585.84
SACRAMENTO,Residential,3,2,1289,179507.79
SACRAMENTO,Residential,1,1,871,137768.24
SACRAMENTO,Residential,3,1,1020,149659.42
SACRAMENTO,Residential,2,2,1022,162813.56
SACRAMENTO,Condo,2,2,1134,171947.21
RIO LINDA,Residential,2,1,844,157886.86
CITRUS HEIGHTS,Condo,2,1,795,140757.23
SACRAMENTO,Residential,2,1,588,110459.92
RIO LINDA,Residential,3,2,1356,207658.82
CITRUS HEIGHTS,Residential,3,2,1118,176203.29
SACRAMENTO,Residential,4,2,1329,185828.52
NORTH HIGHLANDS,Residential,4,2,1240,147789.79
SACRAMENTO,Residential,3,2,1601,232011.1
NORTH HIGHLANDS,Residential,3,2,901,118634.64
ANTELOPE,Residential,3,2,1088,174793.73
SACRAMENTO,Residential,3,1,963,146893.53
SACRAMENTO,Residential,3,2,1119,161694.18
SACRAMENTO,Residential,4,2,1380,192452.01
SACRAMENTO,Residential,3,2,1248,180754.99
ELK GROVE,Condo,2,2,1039,168083.47
NORTH HIGHLANDS,Residential,3,2,1152,149791.78
SACRAMENTO,Residential,3,2,1380,198796.01
ELVERTA,Residential,3,2,1116,131904.93
ELK GROVE,Condo,2,2,1039,162126.47
SACRAMENTO,Residential,3,2,1418,208189.6
NORTH HIGHLANDS,Residential,3,2,1082,132806
SACRAMENTO,Residential,4,2,1472,207330.29
SACRAMENTO,Residential,4,2,1146,176139.03
SACRAMENTO,Condo,1,1,760,123421.66
SACRAMENTO,Condo,2,2,1304,189334.82
SACRAMENTO,Residential,3,2,1207,170653.19
ELK GROVE,Residential,3,2,1056,162816.63
ANTELOPE,Residential,2,2,1043,165676.66
NORTH HIGHLANDS,Residential,4,2,1587,198039.49
SACRAMENTO,Residential,4,1,1120,162496.25
SACRAMENTO,Residential,4,2,1580,218870.67
SACRAMENTO,Residential,4,1,1955,269803.28
SACRAMENTO,Residential,4,2,1656,225356.86
SACRAMENTO,Residential,3,2,1477,199498.63
ELK GROVE,Residential,3,2,1188,186742.64
SACRAMENTO,Residential,4,2,1590,212507.35
SACRAMENTO,Residential,3,2,1463,208638.67
SACRAMENTO,Residential,4,2,1714,242954.82
SACRAMENTO,Residential,3,2,1185,178350.69
GALT,Residential,3,2,1406,211358.59
SACRAMENTO,Multi-Family,4,2,1943,269589.46
SACRAMENTO,Residential,3,2,1172,165075.8
CARMICHAEL,Residential,3,1,1152,252093.46
SACRAMENTO,Residential,4,3,1851,259682.17
ANTELOPE,Residential,3,2,1215,176052.41
GALT,Residential,3,2,1130,180290.75
ORANGEVALE,Residential,4,2,1603,287983.24
GALT,Residential,3,1,1479,217631.58
SACRAMENTO,Residential,3,2,1420,210068.74
SACRAMENTO,Residential,3,2,1280,187852.18
ELK GROVE,Residential,3,2,1586,241443.83
ANTELOPE,Residential,3,2,1362,203078.45
SACRAMENTO,Multi-Family,4,4,2162,294521.41
SACRAMENTO,Residential,3,2,1266,193326.22
ELK GROVE,Residential,4,2,1715,251362.64
FOLSOM,Residential,3,2,1820,373577.89
CARMICHAEL,Residential,3,1,936,241236.71
SACRAMENTO,Residential,3,2,1511,221865.95
SACRAMENTO,Residential,4,2,1590,225862.35
ELK GROVE,Residential,4,2,1596,234877.51
SACRAMENTO,Residential,2,2,1341,191580.34
ELK GROVE,Residential,5,3,2136,296495.39
ELK GROVE,Residential,4,2,1616,232538.87
SACRAMENTO,Residential,3,2,1478,215720.7
RANCHO CORDOVA,Residential,3,2,1287,184799.58
CITRUS HEIGHTS,Residential,4,2,1277,190789.15
SACRAMENTO,Residential,4,2,1448,214587.65
SACRAMENTO,Residential,4,3,2235,300845.4
MATHER,Residential,3,2,2093,250111
RIO LINDA,Residential,3,2,1193,197145.69
ELK GROVE,Residential,3,2,2163,300105.23
SACRAMENTO,Residential,3,2,1269,174393.43
SACRAMENTO,Residential,3,1,958,147133.19
ELK GROVE,Residential,5,3,2508,343411.79
CITRUS HEIGHTS,Residential,3,2,1305,199601.06
ELK GROVE,Residential,4,2,1591,231933.17
CARMICHAEL,Condo,2,2,1326,286536.34
ELK GROVE,Residential,3,2,1843,269437.38
SACRAMENTO,Residential,4,2,1921,267236.95
ELK GROVE,Residential,5,3,2790,377167.05
SACRAMENTO,Residential,3,2,1541,213150
SACRAMENTO,Residential,3,1,1018,149662.28
SACRAMENTO,Condo,3,2,1672,240481.95
POLLOCK PINES,Residential,3,2,1380,251686.22
SACRAMENTO,Residential,3,1,975,141649.35
SACRAMENTO,Residential,4,3,2372,323279.75
SACRAMENTO,Residential,3,2,1446,214412.51
POLLOCK PINES,Residential,2,2,1284,251995.66
SACRAMENTO,Residential,4,3,3009,381985.26
SACRAMENTO,Multi-Family,8,4,3612,469582.44
ELK GROVE,Residential,4,2,2056,289820.92
ELK GROVE,Residential,4,2,1993,283156.62
ELK GROVE,Residential,3,2,1857,261999.33
SACRAMENTO,Residential,2,1,1126,165747.66
SACRAMENTO,Multi-Family,4,4,2213,290073.9
ELK GROVE,Residential,5,3,2494,339257.84
ELK GROVE,Residential,3,2,1843,264628.38
GOLD RIVER,Residential,2,2,1520,318264.64
SACRAMENTO,Residential,5,3,2800,374543.98
ELK GROVE,Residential,4,2,2309,318572.2
SACRAMENTO,Residential,5,3,2367,317214.41
RANCHO CORDOVA,Residential,5,4,3516,451486.81
SACRAMENTO,Residential,4,3,1914,255840.48
ORANGEVALE,Residential,2,1,1690,302022.18
ELK GROVE,Residential,3,3,2725,376307.61
ELK GROVE,Residential,4,3,2354,321494.28
FOLSOM,Residential,3,2,2185,413083.82
ELK GROVE,Residential,4,2,1801,251968.51
SACRAMENTO,Residential,3,3,1961,257881.69
ELK GROVE,Residential,4,2,3134,423771.54
SACRAMENTO,Residential,4,3,1915,259435.54
RANCHO MURIETA,Residential,4,3,2734,372593.36
WILTON,Residential,3,2,2110,466763.66
ELK GROVE,Residential,5,3,3164,428392.59
SACRAMENTO,Residential,5,3,3599,469011.55
SACRAMENTO,Residential,4,2,2054,273634.04
ANTELOPE,Residential,4,2,1830,252134.41
SACRAMENTO,Residential,3,3,1627,229137.88
ELK GROVE,Residential,4,3,3440,464977.44
GREENWOOD,Residential,3,2,2846,405014
ELK GROVE,Residential,4,3,2359,320363.62
SACRAMENTO,Residential,3,3,2052,284437.9
ELK GROVE,Residential,5,3,3433,449659.96
RANCHO CORDOVA,Residential,5,3,3615,462388.57
FOLSOM,Residential,5,3,2687,475183.1
ELK GROVE,Residential,4,3,2724,375878.54
ELK GROVE,Residential,4,3,3440,450270.44
ELK GROVE,Residential,5,4,3508,456896.09
FOLSOM,Residential,4,2,2462,446107.73
SACRAMENTO,Residential,3,3,2325,309040.54
CITRUS HEIGHTS,Condo,2,1,795,126429.23
SACRAMENTO,Residential,4,2,1099,162778.82
ELK GROVE,Condo,2,1,840,139722.88
SACRAMENTO,Residential,2,1,800,134282.4
SACRAMENTO,Residential,2,1,746,126964.71
SACRAMENTO,Residential,3,1,1067,151206.63
SACRAMENTO,Residential,4,2,1316,197990.64
SACRAMENTO,Residential,3,1,1337,199703.07
SACRAMENTO,Residential,2,1,868,136649.04
